date,n1,n2,n3,n4,n5,n6
01/01/2014,1,1,14,3,15,17
01/04/2014,1,4,14,11,15,21
01/08/2014,1,8,14,11,17,20
01/11/2014,1,11,14,3,11,12
01/15/2014,1,15,14,8,19,29
01/18/2014,1,18,14,5,9,19
01/22/2014,1,22,14,13,17,18
01/25/2014,1,25,14,2,6,8
01/29/2014,1,29,14,1,24,25
02/01/2014,2,1,14,2,5,6
02/05/2014,2,5,14,7,16,29
02/08/2014,2,8,14,1,16,21
02/12/2014,2,12,14,14,21,23
02/15/2014,2,15,14,1,6,25
02/19/2014,2,19,14,9,10,22
02/22/2014,2,22,14,7,9,27
02/26/2014,2,26,14,3,4,6
03/01/2014,3,1,14,17,18,22
03/05/2014,3,5,14,3,14,15
03/08/2014,3,8,14,4,7,12
03/12/2014,3,12,14,3,8,26
03/15/2014,3,15,14,1,27,30
03/19/2014,3,19,14,5,18,31
03/22/2014,3,22,14,9,23,28
03/26/2014,3,26,14,10,12,16
03/29/2014,3,29,14,7,8,12
04/02/2014,4,2,14,21,24,29
04/05/2014,4,5,14,2,14,15
04/09/2014,4,9,14,1,19,28
04/12/2014,4,12,14,1,4,23
04/16/2014,4,16,14,7,10,12
04/19/2014,4,19,14,5,10,12
04/23/2014,4,23,14,5,6,9
04/26/2014,4,26,14,2,5,32
04/30/2014,4,30,14,2,6,8
05/03/2014,5,3,14,4,5,19
05/07/2014,5,7,14,3,6,10
05/10/2014,5,10,14,5,17,20
05/14/2014,5,14,14,12,21,22
05/17/2014,5,17,14,9,12,27
05/21/2014,5,21,14,12,17,18
05/24/2014,5,24,14,2,21,23
05/28/2014,5,28,14,11,20,27
05/31/2014,5,31,14,8,11,15
06/04/2014,6,4,14,8,13,21
06/07/2014,6,7,14,5,10,13
06/11/2014,6,11,14,5,18,26
06/14/2014,6,14,14,8,10,13
06/18/2014,6,18,14,5,13,21
06/21/2014,6,21,14,3,4,8
06/25/2014,6,25,14,19,25,38
06/28/2014,6,28,14,2,4,10
07/02/2014,7,2,14,11,17,27
07/05/2014,7,5,14,3,13,14
07/09/2014,7,9,14,2,3,5
07/12/2014,7,12,14,3,4,8
07/16/2014,7,16,14,7,14,17
07/19/2014,7,19,14,24,27,30
07/23/2014,7,23,14,11,18,23
07/26/2014,7,26,14,5,10,14
07/30/2014,7,30,14,6,7,14
08/02/2014,8,2,14,5,8,15
08/06/2014,8,6,14,7,24,28
08/09/2014,8,9,14,7,10,25
08/13/2014,8,13,14,7,14,15
08/16/2014,8,16,14,1,2,3
08/20/2014,8,20,14,2,10,19
08/23/2014,8,23,14,4,7,18
08/27/2014,8,27,14,3,11,17
08/30/2014,8,30,14,4,10,16
09/03/2014,9,3,14,3,6,15
09/06/2014,9,6,14,3,13,18
09/10/2014,9,10,14,10,15,17
09/13/2014,9,13,14,14,18,25
09/17/2014,9,17,14,2,7,18
09/20/2014,9,20,14,9,10,28
09/24/2014,9,24,14,5,15,18
09/27/2014,9,27,14,5,7,13
10/01/2014,10,1,14,16,19,20
10/04/2014,10,4,14,6,24,25
10/08/2014,10,8,14,8,9,12
10/11/2014,10,11,14,1,9,19
10/15/2014,10,15,14,1,4,26
10/18/2014,10,18,14,9,10,20
10/22/2014,10,22,14,7,11,13
10/25/2014,10,25,14,3,8,9
10/29/2014,10,29,14,12,17,21
11/01/2014,11,1,14,6,7,12
11/05/2014,11,5,14,1,5,17
11/08/2014,11,8,14,11,17,29
11/12/2014,11,12,14,3,4,8
11/15/2014,11,15,14,12,17,30
11/19/2014,11,19,14,4,17,18
11/22/2014,11,22,14,6,7,10
