n1,n2,n3,n4,n5,s1,draw_date,lucky_ball,white1,white2,white3,white4,white5,special
,,,,,,2019-11-25,,11,25,19,1,2,3
,,,,,,2019-11-28,,11,28,19,3,9,22
,,,,,,2019-12-02,,12,2,19,10,31,43
,,,,,,2019-12-05,,12,5,19,3,11,16
,,,,,,2019-12-09,,12,9,19,1,16,27
,,,,,,2019-12-12,,12,12,19,16,17,21
,,,,,,2019-12-16,,12,16,19,11,20,21
,,,,,,2019-12-19,,12,19,19,6,27,28
,,,,,,2019-12-23,,12,23,19,1,6,16
,,,,,,2019-12-26,,12,26,19,16,25,29
,,,,,,2019-12-30,,12,30,19,4,15,34
,,,,,,2020-01-02,,1,2,20,1,3,18
,,,,,,2020-01-06,,1,6,20,5,8,15
,,,,,,2020-01-09,,1,9,20,1,14,21
,,,,,,2020-01-13,,1,13,20,7,16,30
,,,,,,2020-01-16,,1,16,20,10,13,15
,,,,,,2020-01-20,,1,20,20,4,7,8
,,,,,,2020-01-23,,1,23,20,11,25,28
,,,,,,2020-01-27,,1,27,20,1,7,17
,,,,,,2020-01-30,,1,30,20,4,6,8
,,,,,,2020-02-03,,2,3,20,2,9,34
,,,,,,2020-02-06,,2,6,20,18,30,31
,,,,,,2020-02-10,,2,10,20,3,7,21
,,,,,,2020-02-13,,2,13,20,5,14,31
,,,,,,2020-02-17,,2,17,20,4,27,29
,,,,,,2020-02-20,,2,20,20,24,27,36
,,,,,,2020-02-24,,2,24,20,23,27,33
,,,,,,2020-02-27,,2,27,20,19,20,32
,,,,,,2020-03-02,,3,2,20,6,13,24
,,,,,,2020-03-05,,3,5,20,6,8,9
,,,,,,2020-03-09,,3,9,20,3,13,16
,,,,,,2020-03-12,,3,12,20,1,13,23
,,,,,,2020-03-16,,3,16,20,3,7,24
,,,,,,2020-03-19,,3,19,20,13,19,24
,,,,,,2020-03-23,,3,23,20,1,30,31
,,,,,,2020-03-26,,3,26,20,7,8,10
,,,,,,2020-03-30,,3,30,20,2,22,29
,,,,,,2020-04-02,,4,2,20,2,4,23
,,,,,,2020-04-06,,4,6,20,2,25,26
,,,,,,2020-04-09,,4,9,20,6,16,23
,,,,,,2020-04-13,,4,13,20,1,37,39
,,,,,,2020-04-16,,4,16,20,6,8,20
,,,,,,2020-04-20,,4,20,20,1,3,6
,,,,,,2020-04-23,,4,23,20,5,31,38
,,,,,,2020-04-27,,4,27,20,1,5,9
,,,,,,2020-04-30,,4,30,20,3,4,11
,,,,,,2020-05-04,,5,4,20,15,20,22
,,,,,,2020-05-07,,5,7,20,3,8,22
,,,,,,2020-05-11,,5,11,20,1,24,28
,,,,,,2020-05-14,,5,14,20,20,26,29
,,,,,,2020-05-18,,5,18,20,10,27,32
,,,,,,2020-05-21,,5,21,20,8,11,24
,,,,,,2020-05-25,,5,25,20,4,28,31
,,,,,,2020-05-28,,5,28,20,1,13,36
,,,,,,2020-06-01,,6,1,20,5,15,30
,,,,,,2020-06-04,,6,4,20,9,18,24
,,,,,,2020-06-08,,6,8,20,26,29,31
,,,,,,2020-06-11,,6,11,20,9,24,25
,,,,,,2020-06-15,,6,15,20,25,28,32
,,,,,,2020-06-18,,6,18,20,1,6,16
,,,,,,2020-06-22,,6,22,20,13,33,34
,,,,,,2020-06-25,,6,25,20,1,8,18
,,,,,,2020-06-29,,6,29,20,6,12,16
,,,,,,2020-07-02,,7,2,20,2,10,15
,,,,,,2020-07-06,,7,6,20,2,10,40
,,,,,,2020-07-09,,7,9,20,10,24,28
,,,,,,2020-07-13,,7,13,20,9,13,34
,,,,,,2020-07-16,,7,16,20,5,7,20
,,,,,,2020-07-20,,7,20,20,11,15,37
,,,,,,2020-07-23,,7,23,20,5,6,23
,,,,,,2020-07-27,,7,27,20,6,10,13
,,,,,,2020-07-30,,7,30,20,14,15,16
,,,,,,2020-08-03,,8,3,20,4,10,20
,,,,,,2020-08-06,,8,6,20,14,18,30
,,,,,,2020-08-10,,8,10,20,4,5,16
,,,,,,2020-08-13,,8,13,20,9,33,34
,,,,,,2020-08-17,,8,17,20,5,9,11
,,,,,,2020-08-20,,8,20,20,9,11,18
,,,,,,2020-08-24,,8,24,20,18,22,25
,,,,,,2020-08-27,,8,27,20,7,8,12
,,,,,,2020-08-31,,8,31,20,3,9,14
,,,,,,2020-09-03,,9,3,20,1,4,13
,,,,,,2020-09-07,,9,7,20,4,7,25
,,,,,,2020-09-10,,9,10,20,4,13,25
,,,,,,2020-09-14,,9,14,20,2,5,25
,,,,,,2020-09-17,,9,17,20,5,28,34
,,,,,,2020-09-21,,9,21,20,7,28,39
,,,,,,2020-09-24,,9,24,20,17,21,30
,,,,,,2020-09-28,,9,28,20,9,14,45
,,,,,,2020-10-01,,10,1,20,5,8,9
,,,,,,2020-10-05,,10,5,20,7,17,29
,,,,,,2020-10-08,,10,8,20,28,30,31
,,,,,,2020-10-12,,10,12,20,2,11,21
,,,,,,2020-10-15,,10,15,20,4,14,27
,,,,,,2020-10-19,,10,19,20,11,17,23
,,,,,,2020-10-22,,10,22,20,11,24,35
,,,,,,2020-10-26,,10,26,20,9,12,20
,,,,,,2020-10-29,,10,29,20,2,11,32
,,,,,,2020-11-02,,11,2,20,7,24,26
,,,,,,2020-11-05,,11,5,20,2,4,8
,,,,,,2020-11-09,,11,9,20,22,24,33
,,,,,,2020-11-12,,11,12,20,14,17,24
,,,,,,2020-11-16,,11,16,20,3,8,16
,,,,,,2020-11-19,,11,19,20,5,16,27
,,,,,,2020-11-23,,11,23,20,13,23,31
,,,,,,2020-11-26,,11,26,20,11,25,31
,,,,,,2020-11-30,,11,30,20,11,18,21
,,,,,,2020-12-03,,12,3,20,11,17,22
,,,,,,2020-12-07,,12,7,20,3,18,22
,,,,,,2020-12-10,,12,10,20,1,5,10
,,,,,,2020-12-14,,12,14,20,7,25,34
,,,,,,2020-12-17,,12,17,20,1,20,28
,,,,,,2020-12-21,,12,21,20,3,32,35
,,,,,,2020-12-24,,12,24,20,2,15,40
,,,,,,2020-12-28,,12,28,20,6,9,11
,,,,,,2020-12-31,,12,31,20,11,28,30
,,,,,,2021-01-04,,1,4,21,2,12,21
,,,,,,2021-01-07,,1,7,21,3,20,25
,,,,,,2021-01-11,,1,11,21,1,8,20
,,,,,,2021-01-14,,1,14,21,3,16,20
,,,,,,2021-01-18,,1,18,21,2,13,14
,,,,,,2021-01-21,,1,21,21,11,15,26
,,,,,,2021-01-25,,1,25,21,1,24,28
,,,,,,2021-01-28,,1,28,21,2,19,24
,,,,,,2021-02-01,,2,1,21,15,17,27
,,,,,,2021-02-04,,2,4,21,3,9,13
,,,,,,2021-02-08,,2,8,21,2,12,22
,,,,,,2021-02-11,,2,11,21,7,9,15
,,,,,,2021-02-15,,2,15,21,1,21,22
,,,,,,2021-02-18,,2,18,21,10,11,17
,,,,,,2021-02-22,,2,22,21,2,10,12
,,,,,,2021-02-25,,2,25,21,16,34,35
,,,,,,2021-03-01,,3,1,21,5,11,17
,,,,,,2021-03-04,,3,4,21,2,5,32
,,,,,,2021-03-08,,3,8,21,3,9,40
,,,,,,2021-03-11,,3,11,21,15,19,28
,,,,,,2021-03-15,,3,15,21,5,14,15
,,,,,,2021-03-18,,3,18,21,2,5,21
,,,,,,2021-03-22,,3,22,21,3,5,24
,,,,,,2021-03-25,,3,25,21,3,24,25
,,,,,,2021-03-29,,3,29,21,9,29,32
,,,,,,2021-04-01,,4,1,21,5,27,36
,,,,,,2021-04-05,,4,5,21,2,5,16
,,,,,,2021-04-08,,4,8,21,17,25,30
,,,,,,2021-04-12,,4,12,21,1,12,16
,,,,,,2021-04-15,,4,15,21,3,4,18
,,,,,,2021-04-19,,4,19,21,13,21,31
,,,,,,2021-04-22,,4,22,21,20,28,29
,,,,,,2021-04-26,,4,26,21,8,22,33
,,,,,,2021-04-29,,4,29,21,1,9,10
,,,,,,2021-05-03,,5,3,21,7,11,12
,,,,,,2021-05-06,,5,6,21,5,13,26
,,,,,,2021-05-10,,5,10,21,4,31,32
,,,,,,2021-05-13,,5,13,21,3,7,25
,,,,,,2021-05-17,,5,17,21,18,29,32
,,,,,,2021-05-20,,5,20,21,7,13,38
,,,,,,2021-05-24,,5,24,21,3,6,7
,,,,,,2021-05-27,,5,27,21,5,6,8
,,,,,,2021-05-31,,5,31,21,2,19,28
,,,,,,2021-06-03,,6,3,21,11,19,22
,,,,,,2021-06-07,,6,7,21,5,7,18
,,,,,,2021-06-10,,6,10,21,6,8,10
,,,,,,2021-06-14,,6,14,21,3,17,19
,,,,,,2021-06-17,,6,17,21,7,10,24
,,,,,,2021-06-21,,6,21,21,22,28,33
,,,,,,2021-06-24,,6,24,21,23,26,31
,,,,,,2021-06-28,,6,28,21,5,7,23
,,,,,,2021-07-01,,7,1,21,15,22,30
,,,,,,2021-07-05,,7,5,21,2,5,6
,,,,,,2021-07-08,,7,8,21,2,17,18
,,,,,,2021-07-12,,7,12,21,11,12,22
,,,,,,2021-07-15,,7,15,21,5,10,14
,,,,,,2021-07-19,,7,19,21,11,38,42
,,,,,,2021-07-20,,7,20,21,6,8,16
,,,,,,2021-07-21,,7,21,21,5,30,36
,,,,,,2021-07-22,,7,22,21,20,28,29
,,,,,,2021-07-23,,7,23,21,5,15,17
,,,,,,2021-07-24,,7,24,21,12,13,26
,,,,,,2021-07-25,,7,25,21,6,12,27
,,,,,,2021-07-26,,7,26,21,8,26,39
,,,,,,2021-07-27,,7,27,21,7,31,33
