date,n1,n2,n3,n4,n5,s1
11/12/2020,11,12,20,14,17,24
11/16/2020,11,16,20,3,8,16
11/19/2020,11,19,20,5,16,27
11/23/2020,11,23,20,13,23,31
11/26/2020,11,26,20,11,25,31
11/30/2020,11,30,20,11,18,21
12/03/2020,12,3,20,11,17,22
12/07/2020,12,7,20,3,18,22
12/10/2020,12,10,20,1,5,10
12/14/2020,12,14,20,7,25,34
12/17/2020,12,17,20,1,20,28
12/21/2020,12,21,20,3,32,35
12/24/2020,12,24,20,2,15,40
12/28/2020,12,28,20,6,9,11
12/31/2020,12,31,20,11,28,30
01/04/2021,1,4,21,2,12,21
01/07/2021,1,7,21,3,20,25
01/11/2021,1,11,21,1,8,20
01/14/2021,1,14,21,3,16,20
01/18/2021,1,18,21,2,13,14
01/21/2021,1,21,21,11,15,26
01/25/2021,1,25,21,1,24,28
01/28/2021,1,28,21,2,19,24
02/01/2021,2,1,21,15,17,27
02/04/2021,2,4,21,3,9,13
02/08/2021,2,8,21,2,12,22
02/11/2021,2,11,21,7,9,15
02/15/2021,2,15,21,1,21,22
02/18/2021,2,18,21,10,11,17
02/22/2021,2,22,21,2,10,12
02/25/2021,2,25,21,16,34,35
03/01/2021,3,1,21,5,11,17
03/04/2021,3,4,21,2,5,32
03/08/2021,3,8,21,3,9,40
03/11/2021,3,11,21,15,19,28
03/15/2021,3,15,21,5,14,15
03/18/2021,3,18,21,2,5,21
03/22/2021,3,22,21,3,5,24
03/25/2021,3,25,21,3,24,25
03/29/2021,3,29,21,9,29,32
04/01/2021,4,1,21,5,27,36
04/05/2021,4,5,21,2,5,16
04/08/2021,4,8,21,17,25,30
04/12/2021,4,12,21,1,12,16
04/15/2021,4,15,21,3,4,18
04/19/2021,4,19,21,13,21,31
04/22/2021,4,22,21,20,28,29
04/26/2021,4,26,21,8,22,33
04/29/2021,4,29,21,1,9,10
05/03/2021,5,3,21,7,11,12
05/06/2021,5,6,21,5,13,26
05/10/2021,5,10,21,4,31,32
05/13/2021,5,13,21,3,7,25
05/17/2021,5,17,21,18,29,32
05/20/2021,5,20,21,7,13,38
05/24/2021,5,24,21,3,6,7
05/27/2021,5,27,21,5,6,8
05/31/2021,5,31,21,2,19,28
06/03/2021,6,3,21,11,19,22
06/07/2021,6,7,21,5,7,18
06/10/2021,6,10,21,6,8,10
06/14/2021,6,14,21,3,17,19
06/17/2021,6,17,21,7,10,24
06/21/2021,6,21,21,22,28,33
06/24/2021,6,24,21,23,26,31
06/28/2021,6,28,21,5,7,23
07/01/2021,7,1,21,15,22,30
07/05/2021,7,5,21,2,5,6
07/08/2021,7,8,21,2,17,18
07/12/2021,7,12,21,11,12,22
07/15/2021,7,15,21,5,10,14
07/19/2021,7,19,21,11,38,42
07/20/2021,7,20,21,6,8,16
07/21/2021,7,21,21,5,30,36
07/22/2021,7,22,21,20,28,29
07/23/2021,7,23,21,5,15,17
07/24/2021,7,24,21,12,13,26
07/25/2021,7,25,21,6,12,27
07/26/2021,7,26,21,8,26,39
07/27/2021,7,27,21,7,31,33
07/28/2021,7,28,21,17,20,26
07/29/2021,7,29,21,2,4,9
07/30/2021,7,30,21,6,41,44
07/31/2021,7,31,21,7,26,29
08/01/2021,8,1,21,7,30,32
08/02/2021,8,2,21,4,5,24
08/03/2021,8,3,21,10,15,18
08/04/2021,8,4,21,1,25,30
08/05/2021,8,5,21,5,15,36
08/06/2021,8,6,21,1,4,6
08/07/2021,8,7,21,2,35,41
08/08/2021,8,8,21,1,14,23
08/09/2021,8,9,21,2,4,19
08/10/2021,8,10,21,15,22,34
08/11/2021,8,11,21,1,17,21
08/12/2021,8,12,21,1,9,19
08/13/2021,8,13,21,6,10,16
08/14/2021,8,14,21,28,34,39
08/15/2021,8,15,21,16,23,26
08/16/2021,8,16,21,3,13,39
08/17/2021,8,17,21,2,10,25
08/18/2021,8,18,21,18,21,22
08/19/2021,8,19,21,11,12,16
08/20/2021,8,20,21,8,24,36
08/21/2021,8,21,21,1,10,23
08/22/2021,8,22,21,5,8,15
08/23/2021,8,23,21,4,6,24
08/24/2021,8,24,21,4,10,13
08/25/2021,8,25,21,9,24,33
08/26/2021,8,26,21,9,12,31
08/27/2021,8,27,21,4,8,17
08/28/2021,8,28,21,2,6,8
08/29/2021,8,29,21,4,19,30
08/30/2021,8,30,21,13,22,28
08/31/2021,8,31,21,6,15,27
09/01/2021,9,1,21,7,21,23
09/02/2021,9,2,21,6,21,22
09/03/2021,9,3,21,7,16,28
09/04/2021,9,4,21,20,22,23
09/05/2021,9,5,21,4,21,23
09/06/2021,9,6,21,3,6,18
09/07/2021,9,7,21,8,14,16
09/08/2021,9,8,21,2,5,15
09/09/2021,9,9,21,1,2,4
09/10/2021,9,10,21,1,6,19
09/11/2021,9,11,21,4,5,22
