Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint
QCOM,250,169.0500030517578,173.9600067138672,168.6699981689453,172.95399475097656,3723235.0,2.0196991661264763,94.74259754187302,81.06642611055754,79.02322315962049,0.009206404703939741,0.4887657432152343,3.4664306640625,11.988479329437718,1
TXN,250,181.55999755859372,185.16000366210935,181.1000061035156,183.7400054931641,1840932.0,0.9338674300867433,50.0,66.01213786363473,58.0,0.003827580461041724,0.24511193987423016,3.8342884608677372,-0.7378399426257731,1
IBM,250,272.6199951171875,273.64990234375,267.5,269.3500061035156,1144559.0,-1.0615575354566253,23.138295713717568,71.47096303838958,31.668993522299075,0.007875931321885155,0.26856625475998586,5.358559744698665,8.063258932612104,1
MU,250,165.33999633789062,165.33999633789062,158.3000030517578,159.9199981689453,33265857.0,-3.9000092244104723,21.618424035132023,22.535236272710634,22.061629222417935,0.0005285569175488503,1.3361197007256533,7.014283861432757,53.753476411644186,1
SHOP,250,150.7899932861328,152.24000549316406,148.58999633789062,149.22500610351562,2323909.0,-0.47685495948289747,0.0,38.82216896189259,25.202584251271787,0.0021899045785042314,0.402616210412075,4.664429800851004,30.582151653900837,1
PLTR,250,183.91000366210935,184.8500061035156,177.1199951171875,178.22999572753906,26834915.0,-2.3664789109830386,42.705538084194416,53.93256607615867,30.459117505083864,0.01189362270827381,0.4555905932646579,6.831999642508369,51.29591801300955,1
UBER,250,98.88999938964844,99.8499984741211,96.93000030517578,97.58000183105467,6739050.0,-0.22495011639896978,0.0,72.1538837139421,25.904571878583496,0.009949144252088971,0.360381100587373,3.153215680803567,20.965844618189934,1
ABNB,250,123.5,125.58999633789062,122.33570098876952,122.7300033569336,1912112.0,-0.6234790632116627,0.0,26.700687554090223,11.0,-0.0006713017589912162,0.38278485132001794,2.7385221208844874,-5.931981611038594,1
PYPL,250,67.5,68.58000183105469,67.44000244140625,67.98999786376953,5296681.0,1.0102515671373213,64.76174560039527,35.978863744621066,66.70018047125122,-0.0018231231213386323,0.4878242864376851,1.4979989188058036,-7.818015890030217,1
BABA,250,175.97999572753906,180.16000366210935,175.0399932861328,177.3300018310547,40582857.0,8.738042580329687,92.41246233542623,93.19372889600591,77.35350311073542,0.013785334231548707,1.4714461546352355,6.275288173130578,52.52035230086203,0
T,250,28.684999465942383,28.75,28.170000076293945,28.39299964904785,11593997.0,-1.3789553798359777,0.0,0.0,3.3333333333333335,-0.007880751398568763,0.39508555762445063,0.4928573880876811,7.725921699070271,1
VZ,250,43.20000076293945,43.385101318359375,42.959999084472656,43.185001373291016,8025178.0,-0.38061616294766676,53.52138405329909,21.965310271528466,43.93826741868501,-0.004665780311491852,0.4747900112479253,0.5817933763776512,3.4780821848101606,1
SPY,250,664.510009765625,664.6099853515625,659.6710205078125,660.8599853515625,33233502.0,-0.354342748636971,0.0,51.73903406152255,18.14325773140681,0.0010738688090063287,0.46247390444515574,4.748501479151092,10.91547424515622,1
QQQ,250,599.5700073242188,599.9000244140625,593.3699951171875,594.9500122070312,31502977.0,-0.5432965452490168,0.0,51.07742998352554,16.61115823202337,0.0019262153225340084,0.6092853014468983,5.4572530731860525,13.593195875872377,1
IWM,250,243.8999938964844,244.6100006103516,241.55499267578125,242.63800048828125,15729427.0,-0.49294449953312114,0.0,28.0765187377326,23.530703341778423,0.003186610170793003,0.40288480279006017,3.621004151878168,12.591336570280799,1
LCID,250,22.6299991607666,23.020000457763672,21.90999984741211,22.95599937438965,4608019.0,3.219422709712938,78.16586430344321,92.99717437341681,67.90204952164515,0.02458663228637146,0.36667178994484667,1.2412858690534327,-6.954614103408485,0
RIVN,250,15.5600004196167,15.640000343322754,15.0649995803833,15.635000228881836,23633384.0,0.6761139582489584,50.0,80.70738701874731,53.333333333333336,0.02111124364808572,0.4525957015133943,0.7850715092250272,18.401001362275295,1
SOFI,250,29.489999771118164,29.665000915527344,28.3799991607666,28.774999618530277,25611994.0,-1.0828481691485647,0.0,62.15720883978068,16.49062279142683,0.012145913415950903,0.4266084351457427,1.2683572769165046,70.45260823784622,1
F,250,11.729999542236328,11.829999923706056,11.609999656677246,11.635000228881836,34345252.0,-0.8098833509108561,42.42431248338285,33.84616738950544,34.88621290149503,-0.00040269800910186504,0.6798736157378876,0.22357150486537375,14.221569853481553,1
GM,250,60.09999847412109,60.15499877929688,59.12149810791016,59.47999954223633,5635544.0,1.5363565774156873,75.0,56.96208949602352,78.07694564917573,0.002574482703331138,0.8059882276723982,1.1110714503696997,17.61399324533275,1
