n1,n2,n3,n4,n5,n6,draw_date
2,13,13,1,13,19,2013-02-13
2,16,13,3,9,21,2013-02-16
2,20,13,2,14,26,2013-02-20
2,23,13,12,13,22,2013-02-23
2,27,13,1,3,8,2013-02-27
3,2,13,10,20,21,2013-03-02
3,6,13,1,17,35,2013-03-06
3,9,13,5,12,13,2013-03-09
3,13,13,10,18,20,2013-03-13
3,16,13,18,21,27,2013-03-16
3,20,13,10,11,14,2013-03-20
3,23,13,2,13,14,2013-03-23
3,27,13,2,7,11,2013-03-27
3,30,13,15,24,30,2013-03-30
4,3,13,1,20,25,2013-04-03
4,6,13,7,12,20,2013-04-06
4,10,13,3,4,9,2013-04-10
4,13,13,2,10,17,2013-04-13
4,17,13,8,15,19,2013-04-17
4,20,13,16,18,20,2013-04-20
4,24,13,3,14,15,2013-04-24
4,27,13,3,14,17,2013-04-27
5,1,13,4,19,20,2013-05-01
5,4,13,6,8,27,2013-05-04
5,8,13,2,5,10,2013-05-08
5,11,13,8,18,34,2013-05-11
5,15,13,4,6,15,2013-05-15
5,18,13,5,7,17,2013-05-18
5,22,13,9,16,19,2013-05-22
5,25,13,5,8,19,2013-05-25
5,29,13,4,7,9,2013-05-29
6,1,13,2,13,17,2013-06-01
6,5,13,3,7,12,2013-06-05
6,8,13,2,7,20,2013-06-08
6,12,13,4,15,24,2013-06-12
6,15,13,2,10,23,2013-06-15
6,19,13,9,11,14,2013-06-19
6,22,13,3,4,20,2013-06-22
6,26,13,9,19,21,2013-06-26
6,29,13,4,7,22,2013-06-29
7,3,13,4,5,10,2013-07-03
7,6,13,10,12,18,2013-07-06
7,10,13,9,10,27,2013-07-10
7,13,13,2,10,17,2013-07-13
7,17,13,1,15,24,2013-07-17
7,20,13,10,22,28,2013-07-20
7,24,13,12,20,28,2013-07-24
7,27,13,1,6,15,2013-07-27
7,31,13,9,11,13,2013-07-31
8,3,13,1,5,25,2013-08-03
8,7,13,11,16,25,2013-08-07
8,10,13,7,10,14,2013-08-10
8,14,13,11,16,18,2013-08-14
8,17,13,3,6,10,2013-08-17
8,21,13,12,19,21,2013-08-21
8,24,13,4,10,16,2013-08-24
8,28,13,6,16,18,2013-08-28
8,31,13,1,5,12,2013-08-31
9,4,13,13,23,29,2013-09-04
9,7,13,2,8,14,2013-09-07
9,11,13,3,6,14,2013-09-11
9,14,13,9,12,13,2013-09-14
9,18,13,3,18,24,2013-09-18
9,21,13,1,4,23,2013-09-21
9,25,13,2,8,25,2013-09-25
9,28,13,14,15,20,2013-09-28
10,2,13,3,14,16,2013-10-02
10,5,13,4,7,16,2013-10-05
10,9,13,3,19,30,2013-10-09
10,12,13,1,2,12,2013-10-12
10,16,13,20,27,31,2013-10-16
10,19,13,12,14,20,2013-10-19
10,23,13,14,17,28,2013-10-23
10,26,13,1,3,21,2013-10-26
10,30,13,7,8,28,2013-10-30
11,2,13,1,7,12,2013-11-02
11,6,13,12,16,23,2013-11-06
11,9,13,4,7,10,2013-11-09
11,13,13,5,13,18,2013-11-13
11,16,13,14,17,25,2013-11-16
11,20,13,2,14,27,2013-11-20
11,23,13,2,8,11,2013-11-23
11,27,13,4,17,18,2013-11-27
11,30,13,3,8,10,2013-11-30
12,4,13,11,14,22,2013-12-04
12,7,13,21,26,27,2013-12-07
12,11,13,6,13,17,2013-12-11
12,14,13,2,14,17,2013-12-14
12,18,13,13,19,32,2013-12-18
12,21,13,7,16,17,2013-12-21
12,28,13,4,8,11,2013-12-28
1,1,14,3,15,17,2014-01-01
1,4,14,11,15,21,2014-01-04
1,8,14,11,17,20,2014-01-08
